Url,DomainNameLength,UrlEntropy,PercentageNumericChars,DotCount,TokenCount,SubdomainCount,HasHyphenInDomain,NumberOfDigits,TldPopularity,TldLength,HyphenRatio,VeryShortTokenCount,AverageTokenLength,HasBrandPrefix,DigitToLengthRatio,ConsonantClusterScore,IsAllSubdomain,IsRandomString,RepeatedCharScore,VowelConsonantRatio,UnigramRarity,LevenshteinToBrands,BigramEnglishScore,CharacterTransitionScore,RepeatedNGramScore,ClassLabel
along.ro,8,2.75,0,1,2,0,0,0,0,2,0,1,3.5,0,0,0,0,0,0,0.4,0,0.4,0.5,0,0,0
home.troop29barrington.org,26,3.6385305,0.07692308,2,3,1,0,2,1,3,0,0,8,0,0.07692308,0.125,1,0,0,0.5,0,0.4,0,0,0,1
ugandachild.wordpress.com,25,3.9736607,0,2,3,1,0,0,1,3,0,0,7.6666665,0,0,0.25,1,0,0,0.36363637,0,0.19999999,0.3,0,0,1
c10-qadevtest.net,17,3.5280643,0.11764706,1,3,0,1,2,1,3,0.05882353,0,5,0,0.11764706,0,0,0,0,0.3,0,0,0.083333336,0,0,0
atozmp3-bolly.blogspot.com,26,3.6864195,0.03846154,2,4,1,1,1,1,3,0.03846154,0,5.75,0,0.03846154,0.25,1,0,0.5,0.36363637,0,0,0.16666667,0,0,1
weboportunit.com,16,3.5778196,0,1,2,0,0,0,1,3,0,0,7.5,0,0,0,0,0,0,0.41666666,0,0.100000024,0.18181819,0,0,0
interruptsolutions.club,23,3.5883543,0,1,2,0,0,0,0,4,0,0,11,0,0,0.14285715,0,0,0.5,0.3888889,0,0,0.1764706,0,0,0
solarelectricuk.co.uk,21,3.4992275,0,2,3,1,0,0,1,2,0,2,6.3333335,0,0,0.14285715,1,0,0,0.4,0,0,0.071428575,0,0,1
abogadojairoebullaro.com,24,3.5178943,0,1,2,0,0,0,1,3,0,0,11.5,0,0,0,0,0,0.5,0.55,0,0,0,0,0,0
audiofinder.com.br,18,3.6143694,0,2,3,1,0,0,1,2,0,1,5.3333335,0,0,0,1,0,0,0.54545456,0,0.19999999,0.3,0,0,0
cintrustmfb.com,15,3.5068908,0,1,2,0,0,0,1,3,0,0,7,0,0,0.8,0,0,0,0.18181819,0,0.3,0.1,0,0,0
esmokeboyswholesale.com,23,3.4472625,0,1,2,0,0,0,1,3,0,0,11,0,0,0.14285715,0,0,0,0.47368422,0,0,0.11111111,0,0,0
lagemma2015.com,15,3.456565,0.26666668,1,2,0,0,4,1,3,0,0,7,0,0.26666668,0,0,0,0.5,0.42857143,0,0.19999999,0,0,0,0
wilderweb.net,13,3.180833,0,1,2,0,0,0,1,3,0,0,6,0,0,0,0,0,0,0.33333334,0,0.39999998,0.125,0,0,0
2care4parents.com,17,3.6168747,0.11764706,1,2,0,0,2,1,3,0,0,8,0,0.11764706,0.2,0,0,0,0.36363637,0,0.19999999,0.25,0,0.2,0
onlinemovieshut.com,19,3.5766177,0,1,2,0,0,0,1,3,0,0,9,0,0,0,0,0,0,0.46666667,0,0,0.21428572,0,0,1
galidor.proboards.com,21,3.4992275,0,2,3,1,0,0,1,3,0,0,6.3333335,0,0,0.14285715,1,0,0,0.42857143,0,0.5,0.16666667,0,0,1
lacrecheenchantee.lu,20,3.1037018,0,1,2,0,0,0,0,2,0,1,9.5,0,0,0.16666667,0,0,0.5,0.4117647,0,0,0.3125,0,0,0
settingsprofil.wixsite.com,26,3.7962177,0,2,3,1,0,0,1,3,0,0,8,0,0,0.375,1,0,0.5,0.2857143,0,0,0.15384616,0,0,0
onionsportsnetwork.com,22,3.4428623,0,1,2,0,0,0,1,3,0,0,10.5,0,0,0.42857143,0,0,0,0.33333334,0,0,0.23529412,0,0,1
gelferchute.com,15,3.456565,0,1,2,0,0,0,1,3,0,0,7,0,0,0.2,0,0,0,0.36363637,0,0.19999999,0.1,0,0,0
boredpanda.com,14,3.3787835,0,1,2,0,0,0,1,3,0,0,6.5,0,0,0,0,0,0,0.4,0,0.3,0.5555556,0,0,1
login-center-system-update-secure-support.waspal.pl,51,3.9987342,0,2,8,1,1,0,1,2,0.09803922,1,5.5,0,0,0,1,0,0.5,0.3888889,0,0,0.15,0,0.2,0
parkminnie.wordpress.com,24,3.7201755,0,2,3,1,0,0,1,3,0,0,7.3333335,0,0,0.375,1,0,0.5,0.4,0,0.19999999,0.11111111,0,0,1
raindropsofsapphire.com,23,3.6424897,0,1,2,0,0,0,1,3,0,0,11,0,0,0.2857143,0,0,0.5,0.36842105,0,0,0.22222222,0,0,1
frenchtableami.com,18,3.7254806,0,1,2,0,0,0,1,3,0,0,8.5,0,0,0.33333334,0,0,0,0.35714287,0,0.100000024,0.15384616,0,0,0
romorlittbet.com,16,3.1556392,0,1,2,0,0,0,1,3,0,0,7.5,0,0,0.2,0,0,0.5,0.33333334,0,0.19999999,0.18181819,0,0,0
addluxmi.in,11,3.0957954,0,1,2,0,0,0,1,2,0,1,5,0,0,0.33333334,0,0,0.5,0.375,0,0.39999998,0,0,0,0
greekwatch.webng.com,20,3.6841838,0,2,3,1,0,0,1,3,0,0,6,0,0,0.33333334,1,0,0.5,0.3,0,0.39999998,0.22222222,0,0,1
puzzlepuzzles.com,17,3.1462865,0,1,2,0,0,0,1,3,0,0,8,0,0,0.4,0,0,0.5,0.30769232,0,0,0.083333336,0,0.8,1
thefutoncritic.com,18,3.4193819,0,1,2,0,0,0,1,3,0,0,8.5,0,0,0.16666667,0,0,0,0.35714287,0,0,0.3846154,0,0,1
coatofarms.wordpress.com,24,3.5220551,0,2,3,1,0,0,1,3,0,0,7.3333335,0,0,0.375,1,0,0,0.4,0,0.3,0.22222222,0,0,1
crownmedicalcenter.org,22,3.6292198,0,1,2,0,0,0,1,3,0,0,10.5,0,0,0.14285715,0,0,0,0.33333334,0,0,0.1764706,0,0,1
afribaba.co.za,14,2.9502122,0,2,3,1,0,0,0,2,0,2,4,0,0,0,1,0,0,0.5,0,0.39999998,0,0,0,1
phuturephillies.com,19,3.6163485,0,1,2,0,0,0,1,3,0,0,9,0,0,0,0,0,0.5,0.4,0,0,0.21428572,0,0,1
crh.noaa.gov,12,3.0849626,0,2,3,1,0,0,0,3,0,0,3.3333333,0,0,0.25,1,0,0,0,0,0,0,0,0,1
astanaservice.kz,16,3.4528196,0,1,2,0,0,0,0,2,0,1,7.5,0,0,0,0,0,0,0.46153846,0,0,0.16666667,0,0,0
leroyjonesnavyhistory.com,25,3.8136606,0,1,2,0,0,0,1,3,0,0,12,0,0,0,0,0,0,0.47619048,0,0,0.35,0,0,1
